;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
40366;202200044824;3;7;0;D;2;2;0;1;8;800;3;; -1;1;0;5;80
40367;202200044825;6;;-1;;2;2;0;1;(1);(1);3;;4;2;0;3;80
40368;202200044826;3;375;-1;E;2;2;0;1;(1);(1);1;; -1;2;2;8;50
40369;202200044828;4;;0;;2;2;2;2;(1);(1);1;; -1;2;0;1;50
40370;202200044829;3;8;-1;;2;2;0;1;16;500;1;; -1;1;0;3;90
40371;202200044830;3;936;0;D;2;2;0;1;61;200;1;; -1;1;0;1;80
40372;202200044831;3;349;0;;2;2;0;2;5;47;2;; -1;1;0;3;80
40373;202200044832;4;;-1;;2;2;-1;1;(1);(1);1;;4;1;0;1;-1
40374;202200044835;4;;-1;;1;2;0;2;(1);(1);1;;5;1;0;1;50
40375;202200044836;3;606;0;;2;2;0;1;119;500;1;; -1;1;0;1;80
40376;202200044837;3;951;2;D;2;2;0;2;3;980;3;; -1;1;0;3;80
40377;202200044838;3;CHALLE (RUE DU GENERAL);0;;2;4;0;1;0;475;1;; -1;1;5;4;50
40378;202200044839;2;RT1;0;;2;2;0;1;3;(1);1;; -1;1;0;1;50
40379;202200044840;3;10;0;;2;2;0;2;3;18;3;;5,5;1;0;1;80
40380;202200044841;5;;-1;;-1;2;0;2;(1);(1);2;; -1;9;0;8;-1
40381;202200044842;4;FRANÇOISE DUPARC (BOULEVARD);0;;-1;4;0;1;(1);(1);1;; -1;1;0;1;50
40382;202200044843;4;;0;;2;2;0;1;(1);(1);3;;4;1;0;1;50
40383;202200044844;4;5;-1;;2;2;0;1;(1);(1);1;; -1;2;2;3;50
40384;202200044845;3;20;0;D;2;2;0;4;20;500;2;; -1;1;0;3;80
40385;202200044846;3;302;0;D;2;2;0;1;7;200;1;; -1;2;0;1;80
40386;202200044847;4;;-1;;2;2;0;4;(1);(1);1;; -1;4;9;1;50
40387;202200044848;4;FRANÇOISE DUPARC (BOULEVARD);0;;3;4;0;1;(1);(1);1;; -1;1;0;1;50
40388;202200044850;3;13e15;-1;;2;2;3;1;0;257;3;; -1;8;5;6;50
40389;202200044851;7;6098;-1;M;2;2;0;1;54;2;1;; -1;1;9;1;30
40390;202200044852;9;RUFFI (RUE DE);0;;1;1;0;1;0;0;1;; -1;1;0;4;50
40391;202200044853;3;22;0;;2;2;0;1;44;(1);1;; -1;1;0;1;50
40392;202200044854;3;563;-1;;2;2;1;1;0;900;1;; -1;1;0;1;50
40393;202200044855;2;1;0;;2;2;0;1;13;700;1;;7;1;0;1;80
40394;202200044856;3;111;0;D;2;2;0;2;1;470;1;;4;1;0;3;80
40395;202200044857;3;;-1;;2;2;0;1;(1);(1);3;;5;1;9;3;50
40396;202200044858;3;999;0;;2;2;0;1;73;545;2;; -1;1;0;3;70
40397;202200044859;4;RABATAU (BOULEVARD);0;;2;4;0;1;1;0;1;; -1;1;0;1;50
40398;202200044860;3;142;-1;;2;2;0;1;(1);(1);4;; -1;1;0;3;80
40399;202200044861;2;7;-1;;1;1;0;1;(1);(1);3;; -1;1;0;1;50
40400;202200044862;4;JEAN TRINQUET (RUE);0;;1;1;0;1;0;0;2;; -1;1;0;1;50
40401;202200044863;3;D70;-1;;2;2;0;1;6;130;4;; -1;1;0;1;80
40402;202200044864;3;906;-1;;2;2;0;1;27;100;1;; -1;1;0;1;90
40403;202200044865;3;30;0;;2;2;0;1;33;500;1;; -1;1;0;1;30
