;Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
78363;201300051278;0;7;0;0.0;2.0;3.0;23.0;A01
78364;201300051279;0;7;0;0.0;1.0;1.0;1.0;A01
78365;201300051280;0;34;0;0.0;0.0;0.0;9.0;A01
78366;201300051281;0;7;0;0.0;2.0;2.0;7.0;A01
78367;201300051281;0;7;0;0.0;2.0;6.0;23.0;B01
78368;201300051283;0;7;0;0.0;2.0;2.0;1.0;B01
78369;201300051283;0;7;0;0.0;2.0;2.0;13.0;A01
78370;201300051284;0;7;0;0.0;1.0;2.0;16.0;A01
78371;201300051285;0;10;0;0.0;2.0;2.0;2.0;A01
78372;201300051285;0;32;0;0.0;2.0;4.0;23.0;B01
78373;201300051286;0;10;0;0.0;2.0;3.0;15.0;A01
78374;201300051286;0;30;0;0.0;2.0;1.0;1.0;B01
78375;201300051287;0;30;0;0.0;2.0;5.0;1.0;A01
78376;201300051287;0;7;0;0.0;2.0;1.0;7.0;B01
78377;201300051288;0;7;0;0.0;2.0;8.0;10.0;A01
78378;201300051288;0;30;0;0.0;2.0;1.0;1.0;B01
78379;201300051289;0;30;0;0.0;2.0;7.0;1.0;B01
78380;201300051289;0;7;0;0.0;2.0;0.0;11.0;A01
78381;201300051290;0;1;0;0.0;2.0;6.0;1.0;C01
78382;201300051290;0;7;0;7.0;2.0;1.0;17.0;A01
78383;201300051290;0;7;0;0.0;2.0;1.0;1.0;B01
78384;201300051291;0;7;0;0.0;2.0;8.0;22.0;A01
78385;201300051291;0;31;0;0.0;2.0;1.0;3.0;B01
78386;201300051291;0;7;0;0.0;2.0;7.0;1.0;C01
78387;201300051292;0;7;0;0.0;1.0;5.0;1.0;B01
78388;201300051292;0;7;0;0.0;2.0;2.0;1.0;A01
78389;201300051294;0;7;0;0.0;2.0;7.0;17.0;A01
78390;201300051294;0;1;0;0.0;2.0;8.0;7.0;B01
78391;201300051295;0;7;0;0.0;2.0;4.0;23.0;B01
78392;201300051295;0;7;0;0.0;2.0;1.0;2.0;A01
78393;201300051296;0;7;0;0.0;2.0;4.0;2.0;B01
78394;201300051296;0;32;0;0.0;2.0;1.0;2.0;A01
78395;201300051297;0;7;0;0.0;1.0;1.0;1.0;A01
78396;201300051298;0;32;0;14.0;0.0;2.0;14.0;A01
78397;201300051299;0;30;0;0.0;0.0;0.0;1.0;A01
78398;201300051300;0;7;0;0.0;1.0;7.0;17.0;A01
78399;201300051301;0;2;0;0.0;0.0;2.0;0.0;A01
78400;201300051301;0;3;0;0.0;0.0;3.0;0.0;B01
78401;201300051302;0;1;0;0.0;0.0;1.0;1.0;B01
78402;201300051302;0;7;0;0.0;0.0;2.0;1.0;A01
78403;201300051305;0;7;0;0.0;2.0;7.0;1.0;B01
78404;201300051305;0;7;0;0.0;2.0;1.0;1.0;A01
78405;201300051306;0;7;0;0.0;2.0;6.0;1.0;B01
78406;201300051306;0;7;0;0.0;2.0;1.0;1.0;A01
78407;201300051307;0;7;0;0.0;1.0;1.0;1.0;A01
78408;201300051308;0;1;0;0.0;2.0;8.0;1.0;A01
78409;201300051308;0;7;0;0.0;2.0;1.0;1.0;B01
78410;201300051309;0;7;0;0.0;2.0;3.0;15.0;A01
78411;201300051309;0;32;0;0.0;2.0;1.0;17.0;B01
78412;201300051310;0;7;0;0.0;1.0;1.0;1.0;A01
78413;201300051311;0;7;0;0.0;1.0;2.0;1.0;A01
78414;201300051312;0;7;0;0.0;2.0;4.0;2.0;B01
78415;201300051312;0;32;0;0.0;2.0;1.0;2.0;A01
78416;201300051313;0;33;0;0.0;2.0;1.0;1.0;B01
78417;201300051313;0;7;0;0.0;2.0;3.0;9.0;A01
78418;201300051314;0;7;0;0.0;1.0;1.0;1.0;A01
78419;201300051315;0;33;0;0.0;1.0;1.0;1.0;A01
78420;201300051317;0;33;0;0.0;2.0;1.0;1.0;A01
78421;201300051317;0;34;0;0.0;2.0;4.0;23.0;B01
78422;201300051318;0;7;0;0.0;0.0;4.0;2.0;B01
78423;201300051318;0;7;0;0.0;2.0;1.0;2.0;A01
78424;201300051318;0;7;0;0.0;0.0;4.0;2.0;C01
78425;201300051319;0;7;0;2.0;0.0;1.0;1.0;A01
78426;201300051320;0;7;0;0.0;2.0;6.0;1.0;B01
78427;201300051320;0;34;0;0.0;2.0;1.0;3.0;A01
78428;201300051321;0;30;0;0.0;2.0;2.0;1.0;A01
78429;201300051321;0;7;0;0.0;2.0;3.0;20.0;B01
78430;201300051322;0;32;0;0.0;0.0;6.0;1.0;A01
78431;201300051323;0;7;0;0.0;1.0;1.0;15.0;A01
78432;201300051324;0;7;0;0.0;1.0;4.0;4.0;A01
78433;201300051325;0;30;0;0.0;0.0;0.0;1.0;A01
78434;201300051326;0;7;0;0.0;2.0;3.0;9.0;A01
78435;201300051326;0;2;0;0.0;2.0;1.0;1.0;B01
78436;201300051327;0;32;0;0.0;2.0;3.0;18.0;B01
78437;201300051327;0;14;0;0.0;2.0;2.0;16.0;A01
78438;201300051329;0;7;0;0.0;2.0;2.0;7.0;B01
78439;201300051329;0;30;0;0.0;2.0;8.0;12.0;A01
78440;201300051330;0;32;0;0.0;0.0;0.0;1.0;A01
78441;201300051332;0;10;0;0.0;1.0;1.0;1.0;A01
78442;201300051333;1;7;0;0.0;1.0;0.0;1.0;Z01
78443;201300051334;0;7;0;0.0;0.0;1.0;15.0;B01
78444;201300051334;0;2;0;1.0;0.0;7.0;1.0;A01
78445;201300051335;0;7;0;0.0;1.0;1.0;1.0;A01
78446;201300051336;0;7;0;0.0;2.0;1.0;15.0;A01
78447;201300051336;0;2;0;0.0;2.0;1.0;1.0;B01
78448;201300051337;0;1;0;0.0;2.0;2.0;1.0;B01
78449;201300051337;0;7;0;0.0;2.0;3.0;10.0;A01
78450;201300051338;0;7;0;0.0;1.0;2.0;1.0;A01
78451;201300051338;0;7;0;0.0;2.0;3.0;1.0;B01
78452;201300051340;0;2;0;0.0;1.0;1.0;1.0;A01
78453;201300051341;0;33;0;0.0;2.0;1.0;1.0;A01
78454;201300051341;0;7;0;0.0;0.0;6.0;23.0;B01
78455;201300051343;0;30;0;0.0;2.0;1.0;5.0;A01
78456;201300051343;0;7;0;0.0;2.0;2.0;1.0;B01
78457;201300051346;0;33;0;0.0;2.0;1.0;1.0;B01
78458;201300051346;0;7;0;0.0;2.0;6.0;10.0;A01
78459;201300051347;0;33;0;0.0;2.0;1.0;1.0;B01
78460;201300051347;0;7;0;0.0;2.0;6.0;13.0;A01
78461;201300051348;0;30;0;0.0;1.0;1.0;16.0;A01
78462;201300051349;0;1;0;0.0;1.0;1.0;1.0;A01
78463;201300051350;0;7;0;0.0;2.0;1.0;1.0;A01
78464;201300051350;0;7;0;0.0;2.0;8.0;1.0;B01
78465;201300051351;1;10;0;0.0;2.0;0.0;16.0;Z01
78466;201300051351;0;1;0;0.0;2.0;1.0;18.0;A01
78467;201300051352;0;2;0;0.0;2.0;2.0;1.0;B01
78468;201300051352;0;7;0;0.0;2.0;5.0;15.0;A01
78469;201300051353;0;32;0;0.0;0.0;8.0;21.0;A01
78470;201300051355;0;7;0;0.0;2.0;5.0;1.0;B01
78471;201300051355;0;7;0;0.0;0.0;1.0;1.0;A01
78472;201300051356;0;7;0;0.0;2.0;8.0;1.0;B01
78473;201300051356;0;33;0;0.0;2.0;1.0;1.0;A01
78474;201300051357;0;32;0;0.0;2.0;1.0;1.0;B01
78475;201300051357;0;31;0;0.0;2.0;3.0;9.0;A01
78476;201300051358;0;33;0;0.0;1.0;1.0;1.0;A01
78477;201300051359;0;32;0;0.0;2.0;1.0;1.0;B01
78478;201300051359;0;31;0;0.0;2.0;0.0;1.0;C01
78479;201300051359;0;13;0;0.0;2.0;8.0;10.0;A01
78480;201300051360;0;32;0;0.0;2.0;6.0;1.0;B01
78481;201300051360;0;7;0;0.0;2.0;1.0;1.0;A01
78482;201300051361;0;7;0;0.0;1.0;2.0;1.0;A01
78483;201300051362;0;7;0;11.0;0.0;1.0;14.0;A01
78484;201300051363;0;7;0;0.0;2.0;1.0;2.0;A01
78485;201300051363;0;7;0;0.0;2.0;6.0;23.0;B01
78486;201300051365;0;7;0;0.0;2.0;1.0;1.0;A01
78487;201300051365;0;7;0;0.0;0.0;4.0;23.0;B01
78488;201300051366;0;34;0;0.0;0.0;8.0;1.0;A01
78489;201300051367;0;30;0;0.0;0.0;0.0;1.0;A01
78490;201300051368;0;7;0;0.0;2.0;3.0;1.0;A01
78491;201300051368;0;33;0;1.0;0.0;8.0;1.0;B01
78492;201300051369;0;31;0;0.0;2.0;1.0;17.0;B01
78493;201300051369;0;7;0;0.0;2.0;3.0;13.0;A01
78494;201300051370;0;30;0;0.0;1.0;1.0;17.0;A01
78495;201300051371;0;30;0;0.0;0.0;0.0;1.0;A01
78496;201300051373;1;32;0;0.0;2.0;2.0;18.0;Z01
78497;201300051373;0;1;0;0.0;2.0;8.0;1.0;A01
78498;201300051373;0;1;0;0.0;2.0;3.0;1.0;B01
78499;201300051374;0;37;0;0.0;1.0;2.0;16.0;A01
78500;201300051375;0;7;0;8.0;0.0;2.0;1.0;A01
78501;201300051376;0;34;0;0.0;0.0;7.0;16.0;A01
78502;201300051377;0;7;0;0.0;2.0;4.0;1.0;A01
78503;201300051377;1;7;0;0.0;2.0;1.0;1.0;Z01
78504;201300051378;0;30;0;4.0;2.0;3.0;1.0;A01
78505;201300051378;0;7;0;0.0;2.0;6.0;23.0;B01
78506;201300051379;0;33;0;15.0;2.0;8.0;1.0;A01
78507;201300051379;1;7;0;0.0;2.0;0.0;15.0;Z01
78508;201300051380;1;7;0;0.0;2.0;0.0;1.0;Z01
78509;201300051380;0;34;0;0.0;2.0;7.0;13.0;A01
78510;201300051381;0;32;0;0.0;2.0;3.0;1.0;B01
78511;201300051381;0;7;0;0.0;2.0;2.0;1.0;A01
78512;201300051382;0;7;0;0.0;2.0;3.0;10.0;A01
78513;201300051382;0;1;0;0.0;2.0;8.0;1.0;B01
78514;201300051383;0;7;0;9.0;0.0;1.0;13.0;A01
78515;201300051384;0;7;0;0.0;1.0;2.0;15.0;A01
78516;201300051385;0;32;0;0.0;1.0;1.0;1.0;A01
78517;201300051386;0;7;0;0.0;2.0;3.0;13.0;A01
78518;201300051386;0;7;0;0.0;2.0;3.0;23.0;B01
78519;201300051386;0;7;0;0.0;2.0;3.0;2.0;F01
78520;201300051386;0;7;0;0.0;2.0;3.0;2.0;C01
78521;201300051386;0;7;0;0.0;2.0;3.0;2.0;G02
78522;201300051386;0;7;0;0.0;2.0;3.0;2.0;D01
78523;201300051386;0;10;0;0.0;2.0;3.0;2.0;E02
78524;201300051387;0;33;0;0.0;2.0;1.0;16.0;B01
78525;201300051387;0;7;0;0.0;2.0;5.0;1.0;A01
78526;201300051388;0;1;0;0.0;2.0;8.0;1.0;A01
78527;201300051388;1;7;0;0.0;2.0;0.0;15.0;Z01
78528;201300051389;0;10;0;0.0;2.0;1.0;2.0;A01
78529;201300051389;0;7;0;0.0;2.0;4.0;2.0;B01
78530;201300051390;0;10;0;0.0;2.0;1.0;2.0;A01
78531;201300051390;0;7;0;0.0;1.0;4.0;23.0;B01
78532;201300051391;0;33;0;0.0;2.0;3.0;2.0;A01
78533;201300051391;0;7;0;0.0;2.0;5.0;12.0;B01
78534;201300051392;0;33;0;0.0;1.0;0.0;1.0;A01
78535;201300051393;0;7;0;0.0;2.0;5.0;22.0;B01
78536;201300051393;0;32;0;0.0;2.0;2.0;18.0;A01
78537;201300051394;0;7;0;0.0;2.0;3.0;1.0;B01
78538;201300051394;0;31;0;0.0;2.0;2.0;16.0;A01
78539;201300051395;0;7;0;0.0;2.0;2.0;2.0;A01
78540;201300051395;0;14;0;0.0;2.0;6.0;23.0;B01
78541;201300051396;0;32;0;0.0;2.0;2.0;1.0;B01
78542;201300051396;0;7;0;0.0;2.0;3.0;11.0;A01
78543;201300051397;0;31;0;1.0;2.0;2.0;1.0;A01
78544;201300051397;0;7;0;0.0;2.0;3.0;1.0;B01
78545;201300051398;0;33;0;0.0;2.0;1.0;1.0;A01
78546;201300051398;0;7;0;0.0;2.0;5.0;1.0;B01
78547;201300051400;0;32;0;0.0;0.0;7.0;1.0;A01
78548;201300051401;0;33;0;0.0;1.0;2.0;1.0;A01
78549;201300051404;0;7;0;0.0;2.0;3.0;15.0;A01
78550;201300051404;0;32;0;0.0;2.0;8.0;1.0;B01
78551;201300051405;0;7;0;0.0;1.0;1.0;1.0;A01
78552;201300051406;0;7;0;0.0;2.0;1.0;1.0;B01
78553;201300051406;0;7;0;0.0;2.0;2.0;1.0;A01
78554;201300051407;0;1;0;0.0;2.0;1.0;11.0;A01
78555;201300051407;0;33;0;0.0;2.0;2.0;1.0;B01
78556;201300051408;1;7;0;0.0;1.0;1.0;1.0;Z01
78557;201300051409;0;32;0;0.0;2.0;0.0;17.0;A01
78558;201300051409;0;1;0;0.0;2.0;0.0;15.0;B01
78559;201300051410;0;7;0;0.0;2.0;1.0;2.0;A01
78560;201300051410;0;7;0;0.0;2.0;4.0;23.0;C01
78561;201300051410;0;7;0;0.0;2.0;4.0;23.0;B01
78562;201300051411;0;7;0;0.0;2.0;1.0;2.0;A01
78563;201300051411;0;7;0;0.0;2.0;4.0;23.0;C01
78564;201300051411;0;7;0;0.0;2.0;7.0;23.0;D01
78565;201300051411;0;7;0;0.0;2.0;4.0;23.0;B01
78566;201300051412;0;30;0;0.0;0.0;0.0;21.0;A01
78567;201300051413;0;7;0;0.0;2.0;1.0;2.0;A01
78568;201300051413;0;7;0;0.0;2.0;4.0;23.0;B01
78569;201300051414;0;7;0;0.0;1.0;3.0;7.0;A01
78570;201300051415;0;7;0;0.0;2.0;3.0;23.0;B01
78571;201300051415;0;32;0;0.0;2.0;2.0;17.0;A01
78572;201300051416;0;7;0;0.0;2.0;3.0;22.0;A01
78573;201300051416;0;1;0;0.0;2.0;1.0;1.0;B01
78574;201300051418;0;7;0;0.0;1.0;3.0;1.0;A01
78575;201300051420;0;33;0;0.0;1.0;2.0;1.0;A01
78576;201300051421;0;33;0;0.0;0.0;6.0;23.0;B01
78577;201300051421;0;2;0;1.0;2.0;9.0;1.0;A01
78578;201300051422;0;2;0;0.0;2.0;1.0;17.0;A01
78579;201300051422;0;7;0;0.0;2.0;3.0;10.0;B01
78580;201300051423;0;7;0;0.0;2.0;3.0;1.0;A01
78581;201300051423;0;1;0;0.0;2.0;5.0;1.0;B01
78582;201300051424;0;30;0;0.0;0.0;2.0;1.0;A01
78583;201300051426;0;30;0;1.0;0.0;1.0;14.0;A01
78584;201300051427;0;7;0;0.0;2.0;8.0;15.0;A01
78585;201300051427;0;32;0;0.0;2.0;7.0;17.0;B01
78586;201300051428;0;2;0;0.0;2.0;2.0;2.0;A01
78587;201300051428;0;30;0;8.0;2.0;4.0;2.0;B01
78588;201300051429;0;32;0;0.0;2.0;7.0;17.0;A01
78589;201300051429;1;7;0;0.0;2.0;7.0;13.0;Z01
78590;201300051430;0;2;0;0.0;1.0;7.0;1.0;A01
78591;201300051431;0;32;0;0.0;2.0;1.0;17.0;B01
78592;201300051431;0;7;0;0.0;2.0;6.0;22.0;A01
78593;201300051432;0;2;0;0.0;2.0;4.0;23.0;B01
78594;201300051432;0;7;0;0.0;2.0;1.0;1.0;A01
78595;201300051433;0;10;0;0.0;2.0;3.0;10.0;A01
78596;201300051433;0;7;0;0.0;2.0;1.0;2.0;B01
78597;201300051433;0;33;0;0.0;2.0;1.0;2.0;C01
78598;201300051434;0;7;0;0.0;1.0;1.0;1.0;A01
78599;201300051435;0;30;0;0.0;2.0;0.0;2.0;A01
78600;201300051435;0;7;0;0.0;2.0;7.0;2.0;B01
78601;201300051436;0;33;0;0.0;2.0;2.0;5.0;B01
78602;201300051436;0;7;0;0.0;2.0;3.0;15.0;A01
78603;201300051437;0;7;0;0.0;2.0;3.0;7.0;A01
78604;201300051437;0;33;0;0.0;2.0;5.0;;B01
78605;201300051438;0;32;0;0.0;2.0;7.0;21.0;A01
