;Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
1655;202000001825;10;10;2020;04:45;3;57;57479;1;1;2;7;4 Chemin de Sulzen;49,4233130;6,3716410
1656;202000001827;18;10;2020;20:05;3;35;35124;1;1;1;2;RN 137;47,7410680; -1,7140500
1657;202000001828;18;10;2020;10:20;1;74;74283;1;1;1;7;route du chatelard;45,9308640;5,9381000
1658;202000001829;19;10;2020;13:35;1;68;68315;1;1;1;6;Route de Bollwiller;47,8827630;7,2330060
1659;202000001830;18;10;2020;03:30;3;34;34088;1;1;1;6;D114;43,5757270;3,6814500
1660;202000001832;18;10;2020;16:55;1;76;76549;1;1;1;7;D149;49,7569970;0,9149980
1661;202000001833;17;10;2020;09:58;1;33;33523;1;2;1;3;RD140 / RD140E1;44,7526760; -0,2936380
1662;202000001834;18;10;2020;22:18;3;81;81048;1;1;1;6;104 Route de Saint Quintin;43,9869750;2,1164770
1663;202000001835;18;10;2020;21:45;3;32;32268;1;1;1;7;N124;43,6064990;0,9906580
1664;202000001836;17;10;2020;22:30;5;34;34300;2;1;1;6;Grand Rue;43,4266980;3,3002200
1665;202000001837;17;10;2020;09:05;1;68;68263;1;3;2;2;D419;47,5839240;7,4619470
1666;202000001838;16;10;2020;08:30;2;44;44123;1;2;7;3;lieu-dit la noé;47,6932880; -1,7851660
1667;202000001840;19;10;2020;15:30;1;54;54533;2;4;1;-1;3 Rue Emile Binda;49,3245560;5,9281750
1668;202000001841;2;10;2020;15:53;1;60;60430;1;1;2;7;D935;49,3109760;2,9264103
1669;202000001842;17;10;2020;09:17;2;53;53110;2;1;4;6;Rue de Taude;47,8747640; -0,5199520
1670;202000001843;18;10;2020;02:00;3;53;53007;1;1;1;6;Haut Mont Roux;48,0818640; -0,6547650
1671;202000001844;18;10;2020;04:40;3;21;21268;1;1;1;6;D31;47,1181378;5,4030788
1672;202000001846;18;10;2020;16:00;1;27;27679;1;1;1;3;RD 841;48,7236910;0,9261560
1673;202000001848;13;8;2020;10:00;1;13;13044;1;1;1;1;D569;43,6284960;5,0179200
1674;202000001850;19;10;2020;15:00;1;13;13118;1;1;1;6;A8 PK 0+200 DIRECTION LYON;43,5605220;5,2285910
1675;202000001851;18;10;2020;17:15;1;988;98821;1;1;1;6;PORT-LAGUERRE; -22,1194560;166,3281740
1676;202000001852;18;10;2020;17:40;2;971;97114;1;1;3;1;Rue Richard Devaux;16,1142660; -61,5753220
1677;202000001853;18;10;2020;03:00;3;67;67160;1;1;1;6;D27;48,9778230;7,7689650
1678;202000001854;18;10;2020;19:50;5;88;88367;2;1;1;1;35 Rue Carnot;48,3437230;6,6351230
1679;202000001855;17;10;2020;09:40;1;63;63335;1;1;8;7;D 978;45,5457072;2,9981646
1680;202000001856;19;10;2020;10:00;1;81;81011;2;1;1;6;415 Route de Gaillac;43,7282900;1,8233340
1681;202000001857;19;10;2020;14:15;1;33;33218;2;3;1;3;19 Lieu Dit Montigaud;45,0840580; -0,1645350
1682;202000001858;18;10;2020;14:20;1;60;60197;1;1;1;1;D1001;49,2379983;2,2165567
1683;202000001859;19;10;2020;10:15;1;60;60668;1;1;5;1;D149;49,4889932;2,0880042
1684;202000001860;17;10;2020;18:06;1;13;13071;1;1;1;3;A51-Sens Aix en Provence vers Marseille;43,4156400;5,3649100
1685;202000001861;17;10;2020;07:30;3;13;13015;1;1;1;5;A51-Sens Marseille vers Aix en Provence;43,4303000;5,3921000
1686;202000001862;18;10;2020;19:50;3;33;33023;1;1;1;5;AUTOROUTE A 62;44,6946000; -0,4966200
1687;202000001863;18;10;2020;19:33;1;92;92064;1;1;1;4;A13;48,8375530;2,1892550
1688;202000001864;18;10;2020;20:35;3;93;93007;1;1;1;7;AUTOROUTE A3;48,9185788;2,4785405
1689;202000001865;18;10;2020;18:25;3;93;93048;1;1;1;4;AUTOROUTE A86;48,8631800;2,4827100
1690;202000001866;18;10;2020;11:45;1;95;95241;1;1;1;2;RN 104;49,0463410;2,4402220
1691;202000001867;17;10;2020;20:15;3;93;93066;1;1;1;2;AUTOROUTE A86;48,9221200;2,3603800
1692;202000001868;17;10;2020;01:20;3;95;95572;1;1;1;6;RN 184;49,0483730;2,1337560
1693;202000001869;18;10;2020;23:10;3;93;93051;1;1;1;6;A4;48,8360000;2,5553000
1694;202000001870;18;10;2020;15:00;1;77;77258;1;1;1;2;A4.W;48,8305927;2,6321618
1695;202000001871;16;10;2020;20:40;3;77;77169;1;1;1;3;RN104.INT;48,8145331;2,6261489
1696;202000001872;16;10;2020;19:00;2;94;94052;1;1;1;7;A86 INT;48,8272200;2,5209400
1697;202000001873;16;10;2020;14:30;1;94;94017;1;1;1;2;A4;48,8297400;2,4845600
1698;202000001874;18;10;2020;05:40;2;988;98818;2;3;1;3;AVENUE JAMES COOK/RUE COMMANDANT ALEXANDRE BABO; -22,2678900;166,4270400
1699;202000001875;18;10;2020;06:40;1;988;98818;2;1;1;4;AVENUE JAMES COOK; -22,2681000;166,4291100
1700;202000001876;17;10;2020;16:20;1;988;98818;2;3;1;3;PROMENADE ROGER LAROQUE; -22,3075500;166,4501600
1701;202000001877;17;10;2020;10:05;1;988;98818;2;1;1;2;ROUTE EXPRESS DU MONT DORE; -22,2281300;166,4896900
1702;202000001878;17;10;2020;14:35;2;974;97407;2;1;1;3;Rue Amilcar Cabral; -20,9463600;55,2995100
1703;202000001880;16;10;2020;20:40;5;972;97213;1;1;2;4;AUTOROUTE A1;14,6182051; -61,0339236
1704;202000001881;17;10;2020;19:17;5;95;95585;2;1;1;3;ZOLA (RUE EMILE);48,9859379;2,3925680
1705;202000001882;17;10;2020;17:20;1;95;95585;2;1;1;3;FRANCK (AVENUE CESAR);48,9730600;2,3751200
1706;202000001883;16;10;2020;18:45;1;95;95280;2;1;1;3;MARECHAL DELATTRE DE TASSIGNY (DU);49,0320760;2,4717430
1707;202000001884;17;10;2020;12:20;1;91;91570;2;9;8;6;TIPHOINES (RUE)VILLAGE HOTEL;48,6284100;2,2995700
1708;202000001885;17;10;2020;10:30;1;91;91064;2;1;8;3;PARIS (RUE DE);48,7574200;2,2187600
1709;202000001886;17;10;2020;14:44;1;91;91377;2;1;1;6;GARE (AVENUE DE LA);48,7342000;2,2730700
1710;202000001888;9;10;2020;08:00;1;91;91027;2;2;2;5;RUE ANDRE LAUNAY;48,7128520;2,3909890
1711;202000001889;17;10;2020;16:15;1;82;82121;2;3;1;6;SARRAIL (RUE DU GENERAL);44,0151000;1,3477000
1712;202000001890;17;10;2020;20:45;5;77;77296;1;2;1;6;RD 306;48,6175410;2,5688320
1713;202000001891;17;10;2020;16:25;1;77;77320;2;1;1;1;GENERAL DE GAULLE (AVENUE DU);48,8280545;3,0315580
1714;202000001893;16;10;2020;16:09;1;67;67462;2;2;1;3;GENERAL DE GAULLE (PLACE DU);48,2595620;7,4464710
1715;202000001894;17;10;2020;06:43;5;65;65440;2;3;1;3;BRIAND (AVENUE ARISTIDE);43,2172528;0,0560942
1716;202000001895;17;10;2020;10:30;1;64;64445;2;1;1;-1;JEAN JACQUES DE MONAIX;43,3029000; -0,3589000
1717;202000001897;17;10;2020;10:35;1;59;59279;2;2;1;1;NEUVILLE (ROUTE DE);50,7768510;3,1331320
1718;202000001898;22;9;2020;22:30;5;59;59009;2;2;1;3;VAN GOGH BOULEVARD;50,6201300;3,1354200
1719;202000001899;17;10;2020;19:45;5;59;59328;2;1;2;3;DE GAULLE AVENUE DU GAL;50,6539416;3,0312744
1720;202000001901;17;10;2020;09:07;1;45;45075;2;6;1;6;Route d’Orléans;47,8935370;1,8491550
