;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
20178;201700022372;4;;;;1.0;1.0;;;0.0;2.0;3.0;0.0;70.0;1.0;5.0;1.0;99.0
20179;201700022374;3;786;;;1.0;0.0;61.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0
20180;201700022375;4;0;;;2.0;2.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20181;201700022376;3;786;;;2.0;2.0;65.0;0.0;0.0;2.0;1.0;0.0;80.0;2.0;5.0;1.0;99.0
20182;201700022377;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;4.0;99.0
20183;201700022378;4;0;;;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20184;201700022379;3;786;;;2.0;1.0;60.0;0.0;0.0;0.0;0.0;0.0;80.0;1.0;5.0;1.0;99.0
20185;201700022380;3;786;;;1.0;1.0;61.0;560.0;0.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0
20186;201700022381;3;21;;;2.0;2.0;18.0;290.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20187;201700022382;3;786;;;2.0;3.0;63.0;30.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;1.0;99.0
20188;201700022383;4;;;;2.0;2.0;;;0.0;4.0;1.0;0.0;25.0;1.0;0.0;1.0;99.0
20189;201700022384;4;0;;;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;99.0
20190;201700022386;4;;;;2.0;1.0;;;0.0;2.0;1.0;0.0;75.0;1.0;5.0;1.0;99.0
20191;201700022387;3;0;;;3.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0
20192;201700022388;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;3.0
20193;201700022390;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;30.0;2.0;0.0;1.0;99.0
20194;201700022391;9;;;;2.0;2.0;;;0.0;2.0;3.0;0.0;20.0;1.0;0.0;1.0;99.0
20195;201700022392;4;;;;2.0;2.0;;;0.0;2.0;3.0;0.0;60.0;2.0;0.0;1.0;99.0
20196;201700022393;3;1;;;2.0;2.0;17.0;680.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;4.0;3.0
20197;201700022394;4;;;;2.0;2.0;;;0.0;2.0;1.0;0.0;50.0;1.0;0.0;0.0;0.0
20198;201700022395;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;2.0;0.0;1.0;0.0
20199;201700022396;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;2.0;0.0;1.0;99.0
20200;201700022397;3;786;;;1.0;2.0;19.0;466.0;0.0;1.0;2.0;0.0;60.0;2.0;5.0;1.0;99.0
20201;201700022398;4;0;;;1.0;4.0;;;0.0;1.0;2.0;0.0;0.0;2.0;0.0;1.0;0.0
20202;201700022399;3;36;;;2.0;2.0;4.0;56.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;99.0
20203;201700022400;4;0;;;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;50.0;0.0;0.0;1.0;0.0
20204;201700022401;5;0;;;1.0;1.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20205;201700022402;4;;;;3.0;4.0;;;0.0;2.0;3.0;0.0;50.0;1.0;0.0;1.0;99.0
20206;201700022403;3;786;;;3.0;2.0;18.0;3530.0;0.0;1.0;1.0;0.0;100.0;2.0;5.0;1.0;99.0
20207;201700022404;3;1;;;2.0;2.0;17.0;1380.0;0.0;1.0;1.0;0.0;70.0;1.0;5.0;1.0;3.0
